Team,Home_Total_Score,Home_Count,Home_Average_Score,Away_Total_Score,Away_Count,Away_Average_Score,Number of Goals,Sum_First_Goal_Time,First_Goal_Count,Average_First_Goal_Time,True_Neutral_Venue,False_Neutral_Venue
Afghanistan,14,13,1.0769230769230769,7,10,0.7,13,469.0,10,46.9,10,6
Albania,181,160,1.13125,110,123,0.8943089430894309,179,5030.0,117,42.99145299145299,8,195
Algeria,213,129,1.6511627906976745,136,107,1.2710280373831775,212,5250.0,122,43.032786885245905,73,83
American Samoa,8,6,1.3333333333333333,8,5,1.6,9,211.0,5,42.2,5,2
Andorra,45,84,0.5357142857142857,31,57,0.543859649122807,43,1846.0,36,51.27777777777778,7,104
Angola,109,58,1.8793103448275863,86,76,1.131578947368421,112,2998.0,67,44.74626865671642,22,62
Anguilla,2,4,0.5,2,5,0.4,2,109.0,2,54.5,3,4
Antigua and Barbuda,29,21,1.380952380952381,25,20,1.25,35,834.0,22,37.90909090909091,3,25
Argentina,557,320,1.740625,346,211,1.6398104265402844,563,10916.0,303,36.026402640264024,151,200
Armenia,124,101,1.2277227722772277,104,99,1.0505050505050506,132,3148.0,79,39.848101265822784,3,135
Aruba,10,10,1.0,14,8,1.75,12,357.0,7,51.0,1,10
Australia,224,128,1.75,207,135,1.5333333333333334,276,5891.0,144,40.90972222222222,65,115
Austria,304,190,1.6,272,183,1.4863387978142077,345,7649.0,192,39.838541666666664,36,210
Azerbaijan,86,98,0.8775510204081632,51,73,0.6986301369863014,83,3190.0,64,49.84375,6,117
Bahamas,14,13,1.0769230769230769,10,4,2.5,14,280.0,7,40.0,0,11
Bahrain,87,65,1.3384615384615384,95,77,1.2337662337662338,110,3285.0,68,48.30882352941177,34,63
Bangladesh,43,40,1.075,17,23,0.7391304347826086,36,1162.0,24,48.416666666666664,18,28
Barbados,19,22,0.8636363636363636,33,25,1.32,31,844.0,20,42.2,3,30
Belarus,94,90,1.0444444444444445,106,92,1.1521739130434783,114,3253.0,75,43.373333333333335,10,115
Belgium,372,220,1.690909090909091,374,221,1.6923076923076923,485,8999.0,249,36.140562248995984,62,234
Belize,29,20,1.45,25,16,1.5625,31,611.0,17,35.94117647058823,6,16
Benin,45,34,1.3235294117647058,38,42,0.9047619047619048,49,1362.0,34,40.05882352941177,11,42
Bermuda,37,27,1.3703703703703705,42,21,2.0,47,1121.0,25,44.84,4,25
Bhutan,11,7,1.5714285714285714,1,1,1.0,7,208.0,4,52.0,0,6
Bolivia,285,196,1.4540816326530612,124,137,0.9051094890510949,225,5995.0,141,42.5177304964539,63,154
Bosnia and Herzegovina,138,98,1.4081632653061225,150,100,1.5,179,3926.0,99,39.656565656565654,6,128
Botswana,32,23,1.391304347826087,14,16,0.875,25,371.0,14,26.5,2,25
Brazil,573,315,1.819047619047619,377,208,1.8125,624,11383.0,313,36.36741214057508,183,172
British Virgin Islands,4,6,0.6666666666666666,10,8,1.25,7,287.0,5,57.4,2,7
Brunei,8,10,0.8,1,4,0.25,5,141.0,4,35.25,1,10
Bulgaria,290,196,1.4795918367346939,241,192,1.2552083333333333,329,8190.0,196,41.785714285714285,27,230
Burkina Faso,101,82,1.2317073170731707,86,68,1.2647058823529411,115,4012.0,78,51.43589743589744,42,56
Burundi,17,14,1.2142857142857142,12,15,0.8,18,757.0,14,54.07142857142857,3,18
Cambodia,15,21,0.7142857142857143,16,16,1.0,18,646.0,13,49.69230769230769,5,21
Cameroon,272,167,1.6287425149700598,170,111,1.5315315315315314,277,6938.0,155,44.76129032258064,91,96
Canada,153,101,1.5148514851485149,137,111,1.2342342342342343,179,4738.0,109,43.46788990825688,59,84
Cape Verde,46,33,1.393939393939394,38,38,1.0,50,1617.0,35,46.2,13,34
Cayman Islands,12,15,0.8,4,7,0.5714285714285714,8,425.0,8,53.125,2,12
Central African Republic,6,8,0.75,15,15,1.0,12,331.0,9,36.77777777777778,6,10
Chad,20,15,1.3333333333333333,9,9,1.0,16,586.0,12,48.833333333333336,3,12
Chile,355,248,1.4314516129032258,298,212,1.4056603773584906,386,8593.0,216,39.782407407407405,121,184
China PR,157,98,1.6020408163265305,168,104,1.6153846153846154,220,4922.0,110,44.74545454545454,66,80
Colombia,279,197,1.416243654822335,240,191,1.256544502617801,337,8860.0,208,42.59615384615385,103,169
Comoros,2,5,0.4,10,9,1.1111111111111112,6,204.0,4,51.0,3,7
Congo,97,74,1.3108108108108107,59,54,1.0925925925925926,93,2985.0,62,48.145161290322584,20,64
Cook Islands,1,2,0.5,15,16,0.9375,10,336.0,7,48.0,9,4
Costa Rica,326,187,1.7433155080213905,254,181,1.4033149171270718,345,7456.0,193,38.63212435233161,92,149
Croatia,225,133,1.6917293233082706,233,138,1.6884057971014492,291,6155.0,157,39.203821656050955,44,137
Cuba,54,45,1.2,64,53,1.2075471698113207,67,1647.0,39,42.23076923076923,25,42
Curaçao,31,25,1.24,86,60,1.4333333333333333,65,1187.0,38,31.236842105263158,30,25
Cyprus,191,181,1.0552486187845305,107,111,0.963963963963964,162,4605.0,109,42.24770642201835,5,192
Czech Republic,191,118,1.61864406779661,226,138,1.6376811594202898,271,5395.0,142,37.99295774647887,35,141
Czechoslovakia,156,89,1.752808988764045,157,110,1.4272727272727272,195,4129.0,109,37.88073394495413,32,98
DR Congo,126,86,1.4651162790697674,160,114,1.4035087719298245,164,3573.0,96,37.21875,64,66
Denmark,312,199,1.5678391959798994,373,225,1.6577777777777778,421,8376.0,226,37.06194690265487,49,230
Djibouti,11,12,0.9166666666666666,2,3,0.6666666666666666,7,221.0,5,44.2,4,7
Dominica,21,15,1.4,16,13,1.2307692307692308,20,372.0,10,37.2,3,16
Dominican Republic,28,21,1.3333333333333333,26,16,1.625,30,729.0,17,42.88235294117647,1,22
Ecuador,239,173,1.3815028901734103,222,194,1.1443298969072164,266,7439.0,171,43.50292397660819,74,161
Egypt,250,144,1.7361111111111112,164,114,1.4385964912280702,262,5524.0,144,38.361111111111114,79,97
El Salvador,186,118,1.576271186440678,143,111,1.2882882882882882,196,3773.0,105,35.93333333333333,48,108
England,307,188,1.6329787234042554,434,224,1.9375,493,9105.0,252,36.13095238095238,80,198
Equatorial Guinea,32,29,1.103448275862069,28,27,1.037037037037037,40,1460.0,29,50.3448275862069,7,33
Eritrea,4,5,0.8,4,6,0.6666666666666666,4,198.0,4,49.5,0,7
Estonia,149,145,1.0275862068965518,112,114,0.9824561403508771,153,4094.0,98,41.775510204081634,14,174
Eswatini,13,11,1.1818181818181819,2,6,0.3333333333333333,8,330.0,6,55.0,0,12
